 20241126-171647,[command] python run_expid.py --config ./config/FinalMLP_criteo_x1 --expid FinalMLP_criteo_x1_001_ea4a337c --gpu 0,[exp_id] FinalMLP_criteo_x1_001_ea4a337c,[dataset_id] criteo_x1_49102577,[train] N.A.,[val] AUC: 0.814449 - logloss: 0.437760,[test] AUC: 0.814773 - logloss: 0.437275
 20241127-020127,[command] python run_expid.py --config ./config/FinalMLP_criteo_x1 --expid FinalMLP_criteo_x1_002_7b48432e --gpu 0,[exp_id] FinalMLP_criteo_x1_002_7b48432e,[dataset_id] criteo_x1_49102577,[train] N.A.,[val] AUC: 0.814445 - logloss: 0.437793,[test] AUC: 0.814803 - logloss: 0.437324
 20241127-034213,[command] python run_expid.py --config ./config/FinalMLP_criteo_x1 --expid FinalMLP_criteo_x1_003_e8daf7cb --gpu 0,[exp_id] FinalMLP_criteo_x1_003_e8daf7cb,[dataset_id] criteo_x1_49102577,[train] N.A.,[val] AUC: 0.814417 - logloss: 0.437705,[test] AUC: 0.814766 - logloss: 0.437228
 20241127-055010,[command] python run_expid.py --config ./config/FinalMLP_criteo_x1 --expid FinalMLP_criteo_x1_004_d5d36917 --gpu 0,[exp_id] FinalMLP_criteo_x1_004_d5d36917,[dataset_id] criteo_x1_49102577,[train] N.A.,[val] AUC: 0.814222 - logloss: 0.438022,[test] AUC: 0.814614 - logloss: 0.437505
 20241127-072929,[command] python run_expid.py --config ./config/FinalMLP_criteo_x1 --expid FinalMLP_criteo_x1_005_e7be6b59 --gpu 0,[exp_id] FinalMLP_criteo_x1_005_e7be6b59,[dataset_id] criteo_x1_49102577,[train] N.A.,[val] AUC: 0.814476 - logloss: 0.437679,[test] AUC: 0.814869 - logloss: 0.437158
 20241127-085820,[command] python run_expid.py --config ./config/FinalMLP_criteo_x1 --expid FinalMLP_criteo_x1_006_75556c06 --gpu 0,[exp_id] FinalMLP_criteo_x1_006_75556c06,[dataset_id] criteo_x1_49102577,[train] N.A.,[val] AUC: 0.814488 - logloss: 0.437663,[test] AUC: 0.814799 - logloss: 0.437186
 20241127-215803,[command] python run_expid.py --config ./config/FinalMLP_criteo_x1 --expid FinalMLP_criteo_x1_008_cdf1627f --gpu 0,[exp_id] FinalMLP_criteo_x1_008_cdf1627f,[dataset_id] criteo_x1_49102577,[train] N.A.,[val] AUC: 0.814386 - logloss: 0.437765,[test] AUC: 0.814729 - logloss: 0.437284
