 20241128-003703,[command] python run_expid.py --config ./config/DualMLP_criteo_x1 --expid DualMLP_criteo_x1_002_53a11d2c --gpu 0,[exp_id] DualMLP_criteo_x1_002_53a11d2c,[dataset_id] criteo_x1_49102577,[train] N.A.,[val] AUC: 0.813646 - logloss: 0.438494,[test] AUC: 0.813944 - logloss: 0.438050
 20241128-025518,[command] python run_expid.py --config ./config/DualMLP_criteo_x1 --expid DualMLP_criteo_x1_003_a7463c1d --gpu 0,[exp_id] DualMLP_criteo_x1_003_a7463c1d,[dataset_id] criteo_x1_49102577,[train] N.A.,[val] AUC: 0.813760 - logloss: 0.438310,[test] AUC: 0.814078 - logloss: 0.437849
 20241128-051332,[command] python run_expid.py --config ./config/DualMLP_criteo_x1 --expid DualMLP_criteo_x1_004_5cdf5c6d --gpu 0,[exp_id] DualMLP_criteo_x1_004_5cdf5c6d,[dataset_id] criteo_x1_49102577,[train] N.A.,[val] AUC: 0.813765 - logloss: 0.438346,[test] AUC: 0.814121 - logloss: 0.437850
 20241128-073635,[command] python run_expid.py --config ./config/DualMLP_criteo_x1 --expid DualMLP_criteo_x1_005_e81c4ef5 --gpu 0,[exp_id] DualMLP_criteo_x1_005_e81c4ef5,[dataset_id] criteo_x1_49102577,[train] N.A.,[val] AUC: 0.813791 - logloss: 0.438152,[test] AUC: 0.814096 - logloss: 0.437715
 20241128-111409,[command] python run_expid.py --config ./config/DualMLP_criteo_x1 --expid DualMLP_criteo_x1_001_0aa31de8 --gpu 0,[exp_id] DualMLP_criteo_x1_001_0aa31de8,[dataset_id] criteo_x1_49102577,[train] N.A.,[val] AUC: 0.813782 - logloss: 0.438274,[test] AUC: 0.814086 - logloss: 0.437828
